time,weathercode,temperature_2m_mean,apparent_temperature_mean,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
1/1/2020,51,26.5,30.7,0.1,10,23.8,316,4.43
1/2/2020,51,27,31.1,0.4,9.2,25.9,252,4.4
1/3/2020,2,27.3,30.9,0,11,27.7,348,4.38
1/4/2020,2,27.2,29.3,0,11.4,28.8,9,5.2
1/5/2020,1,25.8,26.5,0,17,36.4,15,5.83
1/6/2020,1,25.7,26.2,0,15.5,33.5,15,5.87
1/7/2020,1,25.4,25.8,0,20.5,41.8,9,5.92
1/8/2020,1,26.2,28.1,0,11.3,24.1,21,4.99
1/9/2020,2,26.3,29.2,0,13.7,25.9,0,4.98
1/10/2020,51,26.9,31.3,0.7,6.3,19.8,154,3.82
1/11/2020,51,27.1,31.6,0.4,6.5,22.7,61,3.79
1/12/2020,61,26.7,31.6,4.5,10.3,23.8,197,4
1/13/2020,63,26.2,31.4,7.3,8,27,166,3.62
1/14/2020,55,26.8,31.3,2.2,8.7,26.3,37,3.89
1/15/2020,1,26.8,29.6,0,10,26.3,21,4.83
1/16/2020,1,26.9,29.6,0,10.7,25.9,22,4.63
1/17/2020,1,26.4,27.6,0,18.8,39.6,11,5.93
1/18/2020,1,26.3,27.4,0,16.5,36,14,5.59
1/19/2020,3,26.5,28.2,0,12.6,27.4,15,5.28
1/20/2020,1,26.5,28.1,0,13,31.3,3,5.5
1/21/2020,1,26.8,28.9,0,11.5,27.4,360,5.14
1/22/2020,3,26.4,29.7,0,12,25.6,315,3.95
1/23/2020,3,26.8,30.4,0,11.3,26.6,318,4.56
1/24/2020,1,27.2,29.6,0,16.9,36.7,356,5.67
1/25/2020,2,27.6,29.9,0,15.7,34.6,6,5.55
1/26/2020,2,27.5,29.7,0,14.3,33.5,360,5.47
1/27/2020,2,27.6,29.5,0,17.5,37.8,4,5.59
1/28/2020,2,26.2,27.4,0,20.2,41.4,3,4.7
1/29/2020,3,27.7,30.8,0,13.7,25.2,13,4.39
1/30/2020,53,27.8,31.7,3,13.9,32,25,2.89
1/31/2020,61,26.2,29.2,6.8,14,28.8,12,3.31
2/1/2020,55,27.6,31.2,1,12.6,26.3,31,4.52
2/2/2020,51,27.4,30.6,0.2,9.1,20.5,0,4.01
2/3/2020,51,27.8,30.8,0.2,10.7,25.9,6,4.79
2/4/2020,61,25.6,29.1,8.5,9.7,31,19,2.41
2/5/2020,63,27,31.6,5.6,9.8,24.8,43,4.46
2/6/2020,61,26.7,31.5,4.5,10.5,23.4,44,4.37
2/7/2020,55,26.3,31.2,6.4,10.5,25.2,112,4.2
2/8/2020,63,26.7,31.6,4.4,8.7,27.7,207,4.22
2/9/2020,51,27,32.1,1,9.3,21.2,197,4.4
2/10/2020,51,27,31.9,0.6,8.2,21.2,205,4.11
2/11/2020,51,27.2,32.5,0.6,9.7,24.1,278,4.69
2/12/2020,53,27.9,32.2,0.9,7.4,19.8,31,4.38
2/13/2020,51,28,31.6,0.4,10.1,25.9,40,4.59
2/14/2020,2,28.1,31.8,0,9.5,22.7,18,5.16
2/15/2020,51,28.7,32.6,0.1,10.9,25.2,48,4.91
